"Time / s","Vo:Measured voltage","IL:Measured current","Vin:Measured voltage","open1_time","open2_time","open3","open4","short1_time","short2_time","short3","short4"
1.0988670201494721,407.1484808261286,-4.4401625454377465,-109.06068573218535,0,0,0,0,0,0,0,0
1.0988799999999999,407.03059699045531,-4.3801057733219073,-107.22771314846457,0,0,0,0,0,0,0,0
1.0989,406.91201743235644,-4.2599647276255777,-105.39050739821532,0,0,0,0,0,0,0,0
1.0989199999999999,406.79171766428118,-4.2152157068638747,-103.54914101120808,0,0,0,0,0,0,0,0
1.09894,406.67027309960082,-4.1778545639184763,-101.70368668138485,0,0,0,0,0,0,0,0
1.0989599999999999,406.54801362036198,-4.1477172332612309,-99.854217264206198,0,0,0,0,0,0,0,0
1.0989799999999998,406.4253389041051,-4.0569003053457946,-98.000805773491052,0,0,0,0,0,0,0,0
1.099,406.30178907475039,-3.9052941563746613,-96.143525378734637,0,0,0,0,0,0,0,0
1.0990199999999999,406.17642864888467,-3.8281844875723343,-94.2824494022708,0,0,0,0,0,0,0,0
1.09904,406.04948041560874,-3.8253513626861255,-92.417651316091408,0,0,0,0,0,0,0,0
1.0990599999999999,405.92234355404065,-3.7612795258799951,-90.549204739316153,0,0,0,0,0,0,0,0
1.0990800000000001,405.79459103696411,-3.6358674034921701,-88.677183434965954,0,0,0,0,0,0,0,0
1.0991,405.66579531130003,-3.4490191842396203,-86.801661307270336,0,0,0,0,0,0,0,0
1.0991199999999999,405.53437539398652,-3.4709925934772161,-84.922712398614593,0,0,0,0,0,0,0,0
1.09914,405.40294483623711,-3.4312003162926894,-83.040410886667303,0,0,0,0,0,0,0,0
1.0991599999999999,405.27111035761129,-3.3295495652710634,-81.154831081503218,0,0,0,0,0,0,0,0
1.09918,405.13847825312814,-3.1659528103757464,-79.266047422550272,0,0,0,0,0,0,0,0
1.0992,405.00368758870746,-3.1428217437408978,-77.3741344757874,0,0,0,0,0,0,0,0
1.0992199999999999,404.86852702840088,-3.124945901463319,-75.479166930681188,0,0,0,0,0,0,0,0
1.09924,404.73313144559415,-3.0447243537947113,-73.581219597288438,0,0,0,0,0,0,0,0
1.0992599999999999,404.59714180260505,-2.902078492157139,-71.680367403354381,0,0,0,0,0,0,0,0
1.09928,404.45957221226217,-2.8317490382491766,-69.77668539123448,0,0,0,0,0,0,0,0
1.0992999999999999,404.32124418495926,-2.7661571701843712,-67.870248715069394,0,0,0,0,0,0,0,0
1.0993199999999999,404.18237342476527,-2.7051721543684368,-65.961132637697531,0,0,0,0,0,0,0,0
1.09934,404.04307525688466,-2.5813198255058318,-64.049412527735399,0,0,0,0,0,0,0,0
1.0993599999999999,403.90246486390225,-2.5291649708870172,-62.135163856654138,0,0,0,0,0,0,0,0
1.09938,403.76150202463481,-2.4139348780139693,-60.218462195678917,0,0,0,0,0,0,0,0
1.0993999999999999,403.6196082150642,-2.3701097685435517,-58.299383212944086,0,0,0,0,0,0,0,0
1.0994199999999998,403.47742107661264,-2.2630081936605251,-56.378002670384568,0,0,0,0,0,0,0,0
1.09944,403.33415808511722,-2.2270157249576994,-54.454396420796819,0,0,0,0,0,0,0,0
1.0994599999999999,403.19066208309579,-2.1275554092746805,-52.528640404896663,0,0,0,0,0,0,0,0
